contenido,categoria
"Oferta especial solo por hoy, no te lo pierdas",spam
"Ganador del sorteo, reclame su premio",spam
"Reunión de equipo para el nuevo proyecto",principal
"Actualización importante sobre el producto X",principal
"¡Descuentos increíbles en nuestra tienda online!",spam
"Recordatorio: envío de informe mensual",principal
"Nuevo artículo publicado en nuestro blog",principal
"Confirmación de compra en línea",principal
"Error en el envío de su pedido, por favor contacte con nosotros",principal
"Participe en nuestra encuesta de satisfacción",principal
"Nuevo catálogo de productos disponible",principal
"Promoción exclusiva para clientes VIP",spam
"¡Ya están aquí las rebajas de verano!",spam
"Respuesta automática: Fuera de la oficina",principal
"Confirme su asistencia al evento de lanzamiento",principal
"Reciba un obsequio por su fidelidad",spam
"Informe de progreso del proyecto",principal
"Comunicado oficial de la empresa",principal
"¡Le damos la bienvenida a nuestro programa de puntos!",spam
"Horarios de atención durante las vacaciones",principal
"¡Participe en nuestro concurso y gane premios!",spam
"Reembolso procesado por error en su factura",principal
"Anuncio importante sobre cambios en la política de la empresa",principal
"¡Descubra nuestras nuevas ofertas semanales!",spam
"Invitación a la presentación del nuevo producto",principal
"Renovación de su suscripción al servicio",principal
"¡Participe en nuestra encuesta y gane un premio!",spam
"Recordatorio de pago pendiente",principal
"¡Descubra nuestra selección de productos de temporada!",spam
"Actualización de términos y condiciones",principal
"¡Promoción especial por tiempo limitado!",spam
"Invitación a la conferencia sobre innovación tecnológica",principal
"Respuesta a su consulta sobre el producto",principal
"¡Le esperamos en nuestra tienda con grandes descuentos!",spam
"Confirmación de reserva para el evento",principal
"Reciba un regalo exclusivo en su próxima compra",spam
"Informe de seguimiento de su solicitud",principal
"¡No se pierda nuestras ofertas de fin de semana!",spam
"Recordatorio de cita con el médico",principal
"¡Participe en nuestra promoción de verano y gane premios!",spam
"Actualización de su perfil en nuestro sitio web",principal
"¡Descubra las novedades en productos de belleza!",spam
"Invitación a la feria de tecnología",principal
"¡Aproveche nuestro descuento especial para nuevos clientes!",spam
"Confirmación de inscripción en el curso",principal
"Recordatorio de reunión con el cliente",principal
"¡Participe en nuestro sorteo y gane grandes premios!",spam
"Respuesta a su reclamo sobre el producto defectuoso",principal
"¡Descubra nuestra colección de productos exclusivos!",spam
"Invitación a la inauguración de nuestra nueva sucursal",principal
"Confirmación de reserva de hotel",principal
"Actualización sobre el estado de su pedido",principal
"¡Promoción especial para clientes frecuentes!",spam
"Invitación a la presentación de resultados trimestrales",principal
"Respuesta a su solicitud de información",principal
"¡Descuentos especiales por el día del padre!",spam
"Confirmación de cancelación de suscripción",principal
"Recordatorio de fecha límite para presentar documentación",principal
"¡Participe en nuestra encuesta y reciba un cupón de descuento!",spam
"Actualización de su membresía en nuestro club de clientes",principal
"¡Descubra nuestras ofertas exclusivas para esta temporada!",spam
"Invitación a la feria de empleo",principal
"Respuesta a su queja sobre el servicio al cliente",principal
"¡Ofertas especiales en productos de tecnología!",spam
"Confirmación de reserva de vuelo",principal
"Recordatorio de pago de la factura",principal
"¡Participe en nuestro concurso y gane un viaje!",spam
"Actualización de la política de privacidad en nuestro sitio web",principal
"¡Descubra nuestra selección de libros más vendidos!",spam
"Invitación a la presentación de la nueva colección de moda",principal
"Confirmación de cita con el abogado",principal
"Actualización sobre el lanzamiento del nuevo producto",principal
"¡Promoción exclusiva para suscriptores de nuestro boletín!",spam
"Respuesta a su solicitud de soporte técnico",principal
"¡Descubra nuestras ofertas en artículos para el hogar!",spam
"Confirmación de reserva de mesa en el restaurante",principal
"Recordatorio de reunión de junta directiva",principal
"¡Participe en nuestra encuesta de satisfacción y gane premios!",spam
"Actualización sobre el estado de su reclamo",principal
"¡Descuentos especiales en moda masculina!",spam
"Invitación a la conferencia sobre sostenibilidad",principal
"Respuesta a su solicitud de cambio de producto",principal
"¡Le invitamos a conocer nuestra nueva colección de joyas!",spam
"Confirmación de inscripción en el curso de idiomas",principal
"Recordatorio de entrega de documentación para el proyecto",principal
"¡Participe en nuestro sorteo y gane un automóvil!",spam
"Actualización de su suscripción al servicio de streaming",principal
"¡Descubra nuestras ofertas en productos de cuidado personal!",spam
"Invitación a la presentación de resultados financieros anuales",principal
"Confirmación de reserva de entradas para el concierto",principal
"Actualización sobre el estado de su reclamación de garantía",principal
"¡Promoción exclusiva para clientes de nuestra tienda física!",spam
"Respuesta a su consulta sobre la disponibilidad del producto",principal
"¡Descubra nuestras ofertas en productos de electrónica!",spam
"Confirmación de reserva de vehículo de alquiler",principal
"Recordatorio de fecha límite para la presentación de proyectos",principal
"¡Participe en nuestra encuesta y reciba un regalo exclusivo!",spam
"Actualización de su membresía en nuestro club de lectores",principal
"¡Descubra nuestra colección de productos gourmet!",spam
